write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=3.64024019241333
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=3.6160354614257812
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=3.966308832168579
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=3.343398094177246
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=14.78983736038208
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=3.8855156898498535
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=7.7343909740448
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=7.494366884231567
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=8.327589988708496
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=6.13042426109314
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=31.387089490890503
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=8.528446674346924
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=11.930230140686035
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=11.929655313491821
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=15.283779382705688
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=13.153826236724854
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=56.5131676197052
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=15.54668664932251
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.6519992351531982
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.661168098449707
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=3.2784781455993652
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.7434070110321045
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=9.40906023979187
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.4255549907684326
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=6.462120056152344
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.822173833847046
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=6.556157350540161
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=5.2848827838897705
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=18.105929851531982
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.901098966598511
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=11.969516277313232
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=11.172000646591187
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=12.478099822998047
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=11.677134037017822
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=35.90874004364014
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=12.321249961853027
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.705980062484741
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.549386978149414
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.6306769847869873
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.8286538124084473
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=7.274808406829834
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=3.5964930057525635
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.528350114822388
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.210843324661255
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.744460105895996
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.593389987945557
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=14.518579959869385
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=7.37003231048584
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=10.725059986114502
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=12.684077978134155
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=15.579184532165527
