write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=1.8985004425048828
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.09875750541687
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=1.9900331497192383
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.407087564468384
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.238817453384399
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.6285440921783447
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.8972902297973633
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=4.203826665878296
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=5.089770078659058
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.8196916580200195
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=9.166328191757202
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=6.199006795883179
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=8.113539934158325
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=8.0971999168396
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=8.25593113899231
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.7360663414001465
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=17.269569396972656
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=12.031113862991333
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.7798595428466797
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.2059366703033447
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.389240026473999
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.9999730587005615
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.667095422744751
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.008127450942993
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.7558274269104
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.309172630310059
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=5.247377157211304
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=3.8503546714782715
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.751027584075928
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.231963634490967
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=8.17525029182434
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=7.543426990509033
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.713484048843384
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=7.742866516113281
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=16.26895785331726
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=9.625792741775513
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.7668519020080566
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.3459479808807373
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.444629192352295
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.4995877742767334
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=4.340030193328857
