write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.1888444423675537
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.232922077178955
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.1486124992370605
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=1.9475300312042236
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.376544952392578
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.6880977153778076
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.791680097579956
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.9221994876861572
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=4.041243076324463
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.25565767288208
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=9.04112195968628
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=5.315432071685791
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=7.9846580028533936
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=9.299220323562622
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.8176350593566895
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.0592100620269775
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=18.079707622528076
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=10.372761249542236
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.9627244472503662
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.830500841140747
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.20947527885437
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=3.1758697032928467
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.2556798458099365
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=2.4763262271881104
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.195252180099487
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.0982842445373535
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=4.854302406311035
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=4.071522951126099
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=7.015404462814331
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=4.538829803466797
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=7.687547445297241
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=7.581054210662842
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.000982761383057
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=7.425195932388306
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=14.116675615310669
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=9.495903968811035
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.095308303833008
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.255511522293091
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.011180877685547
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.1080806255340576
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=4.3726537227630615
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.3449482917785645
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=4.692838907241821
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=4.772246360778809
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.3250932693481445
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=4.15118145942688
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=8.027121543884277
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=6.763016939163208
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=9.503533363342285
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=10.230844736099243
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=11.20105266571045
reads multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=11.045233488082886
write multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=18.13386344909668
reads multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=11.090469598770142
write multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.7647225856781006
reads multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.8975331783294678
write multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.219233274459839
reads multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.026035785675049
write multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=4.40763521194458
reads multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=3.462959051132202
write multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=5.874717950820923
reads multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=6.367054224014282
write multiprocess=8, filenum=20480, datasize=10000(bytes), eplapsed=6.473989963531494
