write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.3198390007019043
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=1.914557695388794
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.1040728092193604
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=1.9703738689422607
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.090968132019043
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.7188823223114014
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.9965689182281494
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.816739797592163
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=4.655508279800415
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.379378318786621
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=8.522930145263672
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=5.805813312530518
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=7.204193353652954
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=6.876740455627441
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.670061349868774
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=6.541165113449097
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=17.927231550216675
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=10.91773772239685
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.8561069965362549
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.916341781616211
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.826179265975952
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.1832830905914307
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.0990142822265625
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=1.8885817527770996
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=3.798794746398926
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=3.874445915222168
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=3.853010654449463
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=3.8062427043914795
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.599308967590332
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=4.831186294555664
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=8.219603776931763
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=7.893697261810303
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.21628212928772
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=7.739774465560913
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=11.844390630722046
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=9.58932089805603
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.3690526485443115
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.5125792026519775
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.4680089950561523
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.614685297012329
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=3.818488597869873
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.598493814468384
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=5.127077341079712
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=4.827798843383789
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.084613084793091
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=4.87089204788208
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=8.810631513595581
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=6.122201442718506
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=8.434097051620483
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=9.018258333206177
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=10.417876482009888
reads multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=10.516254186630249
write multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=14.685393333435059
reads multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=10.458950996398926
write multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.9800570011138916
reads multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.945725202560425
write multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.1738193035125732
reads multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=2.7721104621887207
write multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=4.457951068878174
reads multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=3.677220106124878
write multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=6.275820732116699
