write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.495983362197876
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.0934934616088867
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.871407985687256
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=1.5507371425628662
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.528278589248657
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.8985135555267334
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=6.525735378265381
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=4.778851747512817
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=6.559505224227905
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.422494411468506
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=8.99307370185852
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=6.632584571838379
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=9.433382511138916
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=7.2348573207855225
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=11.74257206916809
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.181521654129028
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=32.175496101379395
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=10.627296686172485
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=3.094456911087036
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.22805118560791
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=3.0949478149414062
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=3.2072463035583496
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=4.385234355926514
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=2.733299493789673
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=5.75262975692749
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.559362888336182
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=7.143319845199585
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=4.238576650619507
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=8.672443628311157
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=5.748368263244629
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=12.052714586257935
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=8.825660943984985
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=13.629311323165894
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.93620491027832
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=31.987034559249878
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=10.023406982421875
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.0039329528808594
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.1657474040985107
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.249898910522461
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.3663113117218018
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=4.171274900436401
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.570857048034668
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.23945689201355
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=4.939160108566284
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.161058664321899
