write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=3.2297263145446777
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=1.8659427165985107
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=3.454282283782959
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=1.976438045501709
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=5.226616859436035
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.7520525455474854
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=9.175788402557373
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.581730842590332
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=8.684292554855347
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.6247658729553223
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=12.53740930557251
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=3.5843095779418945
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=18.416198015213013
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=3.8509018421173096
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=13.515130043029785
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=3.8097078800201416
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=20.60868811607361
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=4.637953281402588
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.1609044075012207
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.9248569011688232
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.4442267417907715
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=1.9138426780700684
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.176849603652954
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=2.143543004989624
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=5.5580153465271
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.832118988037109
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=6.128224611282349
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=4.186013221740723
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=7.6724817752838135
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=3.8800501823425293
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=10.039783239364624
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=4.407130002975464
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=11.072198152542114
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=4.063116550445557
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=12.062938213348389
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=4.853557825088501
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.6866097450256348
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.3179373741149902
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.490041732788086
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.2741408348083496
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=4.216567516326904
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.434208869934082
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.5154969692230225
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=5.285887956619263
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.168057918548584
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.205261945724487
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=8.179332494735718
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=4.831419944763184
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=11.371181964874268
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=5.585055351257324
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=13.00906753540039
reads multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=5.6627418994903564
write multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=15.844184875488281
reads multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=5.1288979053497314
write multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=3.2180285453796387
reads multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.7551109790802
write multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.5389647483825684
reads multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.130642890930176
write multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=4.040477752685547
reads multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=2.7887284755706787
write multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=7.15695858001709
reads multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=5.494414567947388
write multiprocess=8, filenum=20480, datasize=10000(bytes), eplapsed=7.7272632122039795
reads multiprocess=8, filenum=20480, datasize=10000(bytes), eplapsed=5.856263875961304
write multiprocess=8, filenum=20480, datasize=100000(bytes), eplapsed=8.135873794555664
reads multiprocess=8, filenum=20480, datasize=100000(bytes), eplapsed=5.580572605133057
write multiprocess=8, filenum=40960, datasize=1000(bytes), eplapsed=15.301105260848999
reads multiprocess=8, filenum=40960, datasize=1000(bytes), eplapsed=6.457387685775757
write multiprocess=8, filenum=40960, datasize=10000(bytes), eplapsed=14.949613094329834
reads multiprocess=8, filenum=40960, datasize=10000(bytes), eplapsed=6.501931428909302
write multiprocess=8, filenum=40960, datasize=100000(bytes), eplapsed=18.961071491241455
reads multiprocess=8, filenum=40960, datasize=100000(bytes), eplapsed=6.115787506103516
write multiprocess=16, filenum=10240, datasize=1000(bytes), eplapsed=3.631316661834717
reads multiprocess=16, filenum=10240, datasize=1000(bytes), eplapsed=3.3042991161346436
write multiprocess=16, filenum=10240, datasize=10000(bytes), eplapsed=4.004103183746338
reads multiprocess=16, filenum=10240, datasize=10000(bytes), eplapsed=3.3609912395477295
write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=4.860320091247559
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.4533562660217285
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=7.9161951541900635
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.5134117603302
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=8.281490325927734
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.885320663452148
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=10.736679553985596
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=6.641276597976685
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=15.641811847686768
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=7.099856376647949
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=15.723336696624756
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=7.371518611907959
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=20.9834885597229
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=6.982891321182251
