write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.3236544132232666
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=4.6118505001068115
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.2233266830444336
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.5632970333099365
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=5.730449438095093
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.279047250747681
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.528391122817993
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.993652582168579
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=5.434299945831299
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=6.100100517272949
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=10.38830304145813
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=6.436270475387573
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=8.132572412490845
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=7.5917134284973145
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=12.928919315338135
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=7.077470064163208
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=24.777577877044678
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=10.757741928100586
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.8387527465820312
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.3131296634674072
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=3.3004214763641357
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=1.88399338722229
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.336439847946167
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=5.968402624130249
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.0767552852630615
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.811887264251709
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=5.393668174743652
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=3.970921516418457
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.915735721588135
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=6.533317804336548
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=8.222373247146606
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=10.51768946647644
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=11.64362621307373
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=7.702219247817993
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=15.728506326675415
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=11.44956350326538
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.366391658782959
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.420612096786499
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.517944097518921
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=3.04201078414917
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=3.971484422683716
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.678474187850952
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.491385221481323
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=5.27950382232666
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.462599515914917
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.489860534667969
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=8.562611103057861
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=5.644882440567017
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=10.863561391830444
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=11.841283559799194
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=13.3494234085083
reads multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=9.159861326217651
write multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=20.210548400878906
