write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=50.93370962142944
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=25.39445948600769
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=46.54163670539856
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=24.388318061828613
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=117.22299814224243
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=132.30379343032837
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=139.19284200668335
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=47.17405915260315
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=121.71025824546814
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=68.1746551990509
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=277.3796317577362
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=289.13178730010986
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=455.05383586883545
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=98.99915838241577
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=353.83513855934143
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=308.1453540325165
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=726.7956306934357
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=659.8415191173553
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=30.829034328460693
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=26.734527826309204
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=34.74074053764343
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=27.3650119304657
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=114.3611068725586
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=78.10624742507935
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=119.23719620704651
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=53.325474977493286
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=87.6022744178772
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=57.89372897148132
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=204.27495336532593
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=169.10415840148926
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=387.8882088661194
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=108.32341146469116
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=270.06059074401855
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=191.48953938484192
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=521.1688613891602
