write multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=2.2726521492004395
reads multiprocess=1, filenum=10240, datasize=1000(bytes), eplapsed=1.9140751361846924
write multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.7819526195526123
reads multiprocess=1, filenum=10240, datasize=10000(bytes), eplapsed=2.1921865940093994
write multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=4.260545492172241
reads multiprocess=1, filenum=10240, datasize=100000(bytes), eplapsed=2.617933750152588
write multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.628967761993408
reads multiprocess=1, filenum=20480, datasize=1000(bytes), eplapsed=3.8616714477539062
write multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=4.7043657302856445
reads multiprocess=1, filenum=20480, datasize=10000(bytes), eplapsed=3.6464855670928955
write multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=8.669572591781616
reads multiprocess=1, filenum=20480, datasize=100000(bytes), eplapsed=5.55622124671936
write multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=8.051496982574463
reads multiprocess=1, filenum=40960, datasize=1000(bytes), eplapsed=8.300403833389282
write multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=8.151482820510864
reads multiprocess=1, filenum=40960, datasize=10000(bytes), eplapsed=6.9260759353637695
write multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=18.333577871322632
reads multiprocess=1, filenum=40960, datasize=100000(bytes), eplapsed=10.974934816360474
write multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=1.8475160598754883
reads multiprocess=2, filenum=10240, datasize=1000(bytes), eplapsed=2.8914356231689453
write multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.585174322128296
reads multiprocess=2, filenum=10240, datasize=10000(bytes), eplapsed=2.543437957763672
write multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=3.59944486618042
reads multiprocess=2, filenum=10240, datasize=100000(bytes), eplapsed=2.314805507659912
write multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.065154075622559
reads multiprocess=2, filenum=20480, datasize=1000(bytes), eplapsed=4.366929054260254
write multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=4.4713099002838135
reads multiprocess=2, filenum=20480, datasize=10000(bytes), eplapsed=3.94962477684021
write multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=5.772424936294556
reads multiprocess=2, filenum=20480, datasize=100000(bytes), eplapsed=4.0598204135894775
write multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=9.851689338684082
reads multiprocess=2, filenum=40960, datasize=1000(bytes), eplapsed=7.732438564300537
write multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.315445184707642
reads multiprocess=2, filenum=40960, datasize=10000(bytes), eplapsed=8.028411388397217
write multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=13.614196538925171
reads multiprocess=2, filenum=40960, datasize=100000(bytes), eplapsed=7.574538946151733
write multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=3.1885573863983154
reads multiprocess=4, filenum=10240, datasize=1000(bytes), eplapsed=2.6684627532958984
write multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.905384063720703
reads multiprocess=4, filenum=10240, datasize=10000(bytes), eplapsed=2.7215940952301025
write multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=4.3009631633758545
reads multiprocess=4, filenum=10240, datasize=100000(bytes), eplapsed=2.642504930496216
write multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=6.297393798828125
reads multiprocess=4, filenum=20480, datasize=1000(bytes), eplapsed=4.499353647232056
write multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=6.153046369552612
reads multiprocess=4, filenum=20480, datasize=10000(bytes), eplapsed=4.348438501358032
write multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=8.623042583465576
reads multiprocess=4, filenum=20480, datasize=100000(bytes), eplapsed=6.3444578647613525
write multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=10.499115943908691
reads multiprocess=4, filenum=40960, datasize=1000(bytes), eplapsed=8.95415997505188
write multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=10.965866088867188
reads multiprocess=4, filenum=40960, datasize=10000(bytes), eplapsed=10.608791589736938
write multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=16.285433769226074
reads multiprocess=4, filenum=40960, datasize=100000(bytes), eplapsed=12.567278861999512
write multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.9789412021636963
reads multiprocess=8, filenum=10240, datasize=1000(bytes), eplapsed=2.9270827770233154
write multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=3.306065559387207
reads multiprocess=8, filenum=10240, datasize=10000(bytes), eplapsed=2.920527219772339
write multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=4.522756099700928
reads multiprocess=8, filenum=10240, datasize=100000(bytes), eplapsed=3.159703493118286
write multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=6.440425634384155
reads multiprocess=8, filenum=20480, datasize=1000(bytes), eplapsed=6.005336284637451
write multiprocess=8, filenum=20480, datasize=10000(bytes), eplapsed=6.9671080112457275
reads multiprocess=8, filenum=20480, datasize=10000(bytes), eplapsed=6.026885509490967
write multiprocess=8, filenum=20480, datasize=100000(bytes), eplapsed=9.003854751586914
reads multiprocess=8, filenum=20480, datasize=100000(bytes), eplapsed=6.485138177871704
write multiprocess=8, filenum=40960, datasize=1000(bytes), eplapsed=10.613875150680542
reads multiprocess=8, filenum=40960, datasize=1000(bytes), eplapsed=12.392393112182617
write multiprocess=8, filenum=40960, datasize=10000(bytes), eplapsed=13.788361310958862
reads multiprocess=8, filenum=40960, datasize=10000(bytes), eplapsed=11.135112762451172
write multiprocess=8, filenum=40960, datasize=100000(bytes), eplapsed=18.527661085128784
reads multiprocess=8, filenum=40960, datasize=100000(bytes), eplapsed=11.137221336364746
write multiprocess=16, filenum=10240, datasize=1000(bytes), eplapsed=3.411940574645996
reads multiprocess=16, filenum=10240, datasize=1000(bytes), eplapsed=3.2392542362213135
write multiprocess=16, filenum=10240, datasize=10000(bytes), eplapsed=3.9843270778656006
reads multiprocess=16, filenum=10240, datasize=10000(bytes), eplapsed=3.5267598628997803
write multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=5.816629409790039
reads multiprocess=16, filenum=10240, datasize=100000(bytes), eplapsed=3.754243850708008
write multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.310041666030884
reads multiprocess=16, filenum=20480, datasize=1000(bytes), eplapsed=6.934575080871582
write multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=7.27955961227417
reads multiprocess=16, filenum=20480, datasize=10000(bytes), eplapsed=6.698916673660278
write multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=11.72800326347351
reads multiprocess=16, filenum=20480, datasize=100000(bytes), eplapsed=7.3893327713012695
write multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=13.058847904205322
reads multiprocess=16, filenum=40960, datasize=1000(bytes), eplapsed=12.76069712638855
write multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=13.680036306381226
reads multiprocess=16, filenum=40960, datasize=10000(bytes), eplapsed=12.731779098510742
write multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=22.60764980316162
reads multiprocess=16, filenum=40960, datasize=100000(bytes), eplapsed=13.96725344657898
